Hydr_id        ,Address                                 ,Descript                                          ,CapColor
419043,NE 20th ST & E Cherry ST /NW corner     ,Green (1000-1500 gpm)                             ,Green
419069,NE 20th ST & E Tudor ST                 ,Green (1000-1500 gpm)                             ,Green
419105,1000blk NE 20th ST                      ,Green (1000-1500 gpm)                             ,Green
419125,NE 20th ST & Martin Luther King Jr. DR  ,Green (1000-1500 gpm)                             ,Green
419145,NE 20th ST & E Hickory ST /west side    ,Blue (1500+ gpm)                                  ,Blue
419155,NE 20th ST & NE Loop 286 /SW            ,Green (1000-1500 gpm)                             ,Green
419173,1700 NE 20th ST                         ,Green (1000-1500 gpm)                             ,Green
420003,NE 21st ST & Lamar AVE                  ,Green (1000-1500 gpm)                             ,Green
420018,NE 20th ST & E Price ST                 ,Green (1000-1500 gpm)                             ,Green
420032,NE 20th ST & E Cherry ST /Cherry st S.E ,Green (1000-1500 gpm)                             ,Green
420043,400 NE 21st ST                          ,Green (1000-1500 gpm)                             ,Green
420136,1360 NE 20th ST /clow hydt.             ,Orange (500-1000 gpm)                             ,Orange
420164,NE 20th ST & NE Loop 286 /NE            ,Green (1000-1500 gpm)                             ,Green
420183,2000 NE Loop 286                        ,Green (1000-1500 gpm)                             ,Green
420195,2035 Spur 139 /Tractor Supply Parking Lo,Green (1000-1500 gpm)                             ,Green
421045,2100 E Cherry ST /2100 E Cherry St. Mano,Green (1000-1500 gpm)                             ,Green
421077,2100 E Cherry ST                        ,Green (1000-1500 gpm)                             ,Green
421114,2200 NE Loop 286                        ,Blue (1500+ gpm)                                  ,Blue
422014,2200 E Price ST                         ,Green (1000-1500 gpm)                             ,Green
422030,2230 E. CHERRY                          ,Green (1000-1500 gpm)                             ,Green
422045,2225 E Cherry ST                        ,Orange (500-1000 gpm)                             ,Orange
422047,NE 23rd ST & Kimberly                   ,Green (1000-1500 gpm)                             ,Green
422075,NE 25th ST /under water tower           ,Green (1000-1500 gpm)                             ,Green
422088,"4200 blk Pine Mill RD /S side, W of Mock",Orange (500-1000 gpm)                             ,Orange
422118,NE 22nd ST & Durango DR                 ,Green (1000-1500 gpm)                             ,Green
422135,2225 Ballard DR                         ,Green (1000-1500 gpm)                             ,Green
423035,2300 Pine Bluff ST                      ,Green (1000-1500 gpm)                             ,Green
423098,2300 Briarwood DR /Durango              ,Green (1000-1500 gpm)                             ,Green
423175,2313 NE Loop 286                        ,Green (1000-1500 gpm)                             ,Green
424012,2400 E Price ST                         ,Green (1000-1500 gpm)                             ,Green
424041,NE 25th ST & E Cherry ST                ,Green (1000-1500 gpm)                             ,Green
424061,600 NE 25th ST /600 at dp               ,Green (1000-1500 gpm)                             ,Green
424072,2400 Highland RD                        ,Green (1000-1500 gpm)                             ,Green
425004,NE 25th ST & Lamar AVE                  ,Green (1000-1500 gpm)                             ,Green
425018,NE 25th ST & E Price ST                 ,Green (1000-1500 gpm)                             ,Green
425033,NE 26th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
425041,NE 26th ST & E Cherry ST                ,Green (1000-1500 gpm)                             ,Green
425094,NE 25th ST & Ridgeview RD               ,Green (1000-1500 gpm)                             ,Green
425118,NE 25th ST & Cypress DR /cypress        ,Green (1000-1500 gpm)                             ,Green
425131,NE 26th ST & Kessler DR                 ,Green (1000-1500 gpm)                             ,Green
425144,NE 25th ST & Crescent DR                ,Green (1000-1500 gpm)                             ,Green
426003,NE 27th ST & Lamar AVE                  ,Green (1000-1500 gpm)                             ,Green
426037,NE 27th ST & E Cherry ST                ,Green (1000-1500 gpm)                             ,Green
426092,2610 Briarwood DR /south side street    ,Green (1000-1500 gpm)                             ,Green
426094,2625 Ridgeview RD                       ,Green (1000-1500 gpm)                             ,Green
426104,2630 Ballard DR                         ,Green (1000-1500 gpm)                             ,Green
426142,NE 26th ST & Crescent DR                ,Green (1000-1500 gpm)                             ,Green
426159,NE 27th ST & E Hickory ST               ,Green (1000-1500 gpm)                             ,Green
426178,"1700 NE 20th ST /NE Corner of ""1700 Plac",Green (1000-1500 gpm)                             ,Green
426193,2625 Spur 139 /in front of Family fun ce,Green (1000-1500 gpm)                             ,Green
427018,NE 27th ST & E Price ST                 ,Green (1000-1500 gpm)                             ,Green
427100,2740 Briarwood DR /end of cul-de-sac    ,Orange (500-1000 gpm)                             ,Orange
427136,1300 NE 27th ST /1300blk                ,Orange (500-1000 gpm)                             ,Orange
427162,2755 NE Loop 286                        ,Green (1000-1500 gpm)                             ,Green
427163,2775 NE LOOP 286 /( Young Atty Office ) ,Green (1000-1500 gpm)                             ,Green
427194,Farm Road 195 & N Collegiate DR /east si,Green (1000-1500 gpm)                             ,Green
427198,Willow BND /Oak Creek South             ,Green (1000-1500 gpm)                             ,Green
428010,NE 28th ST & E Price ST                 ,Green (1000-1500 gpm)                             ,Green
428038,NE 28th ST & Walnut ST                  ,Green (1000-1500 gpm)                             ,Green
428092,NE 28th ST & Ridgeview RD               ,Green (1000-1500 gpm)                             ,Green
428108,NE 28th ST & Ballard DR                 ,Green (1000-1500 gpm)                             ,Green
428118,NE 28th ST & Cypress DR                 ,Green (1000-1500 gpm)                             ,Green
428128,NE 28th ST & Kessler DR                 ,Green (1000-1500 gpm)                             ,Green
428133,NE 29th ST & Kessler DR                 ,Green (1000-1500 gpm)                             ,Green
428153,2800 NE Loop 286 /SE Corner Harley Shop ,Green (1000-1500 gpm)                             ,Green
428182,N Collegiate DR & Fair Oaks ST          ,Green (1000-1500 gpm)                             ,Green
428192,N Collegiate DR & Willow BND            ,Green (1000-1500 gpm)                             ,Green
429003,Lamar AVE & N Collegiate DR             ,Green (1000-1500 gpm)                             ,Green
429019,NE 30th ST & E Price ST                 ,Green (1000-1500 gpm)                             ,Green
429023,N. COLLEGIATE AND PRICE                 ,Green (1000-1500 gpm)                             ,Green
429025,200 N Collegiate DR /200blk             ,Green (1000-1500 gpm)                             ,Green
429033,N Collegiate DR & E Cherry ST           ,Green (1000-1500 gpm)                             ,Green
429039,NE 30th ST & E Cherry ST                ,Green (1000-1500 gpm)                             ,Green
429053,2905 Pine Mill RD /surgical center      ,Unknown                                           ,Unknown
429054,Pine Mill RD & N Collegiate DR          ,Green (1000-1500 gpm)                             ,Green
429071,750 N Collegiate DR /Springlake Assist. ,Unknown                                           ,Unknown
429073,700 N Collegiate DR /NE corner East Pari,Green (1000-1500 gpm)                             ,Green
429093,N Collegiate DR & Briarwood DR          ,Green (1000-1500 gpm)                             ,Green
429103,N Collegiate DR & Ballard DR            ,Green (1000-1500 gpm)                             ,Green
429113,N Collegiate DR & Cypress DR            ,Green (1000-1500 gpm)                             ,Green
429133,1300 N Collegiate DR /McKee's           ,Green (1000-1500 gpm)                             ,Green
429155,NE 29th ST & NE Loop 286                ,Green (1000-1500 gpm)                             ,Green
429185,1800 NE 30th ST /Oak Creek Dr           ,Green (1000-1500 gpm)                             ,Green
429198,Willow BND /Oak Creek Dr. North         ,Green (1000-1500 gpm)                             ,Green
429212,2900 Aspen ST                           ,Green (1000-1500 gpm)                             ,Green
429220,2910 Meandering WAY /N of cul-de-sac    ,Green (1000-1500 gpm)                             ,Green
430004,NE 30th ST & Lamar AVE                  ,Green (1000-1500 gpm)                             ,Green
430007,3000 Lamar AVE /3095 Lamar              ,Green (1000-1500 gpm)                             ,Green
430008,3000 E Houston ST                       ,Green (1000-1500 gpm)                             ,Green
430033,NE 30th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
430037,3055 Aikin DR                           ,Green (1000-1500 gpm)                             ,Green
430044,3000 Pine Mill RD /(Church )            ,Green (1000-1500 gpm)                             ,Green
430085,800 Bunker ST                           ,Green (1000-1500 gpm)                             ,Green
430097,NE 31st ST & Briarwood DR               ,Green (1000-1500 gpm)                             ,Green
430098,Fairway ST & Briarwood DR               ,Green (1000-1500 gpm)                             ,Green
430145,3015 NE Loop 286 /Texaco / Red River Rad,Green (1000-1500 gpm)                             ,Green
430147,3025 NE Loop 286 /Holiday Inn Express   ,Green (1000-1500 gpm)                             ,Green
430155,3035 NE Loop 286 /Comfort Inn Suites    ,Green (1000-1500 gpm)                             ,Green
430166,3030 Wood HOLW                          ,Green (1000-1500 gpm)                             ,Green
430178,NE 30th ST & Fair Oaks ST               ,Green (1000-1500 gpm)                             ,Green
430196,Silverleaf DR & Oak Creek DR            ,Green (1000-1500 gpm)                             ,Green
430198,Oak Creek DR & Aspen ST                 ,Green (1000-1500 gpm)                             ,Green
430208,Aspen ST & Silverleaf DR                ,Green (1000-1500 gpm)                             ,Green
431006,NE 31st ST & E Houston ST               ,Green (1000-1500 gpm)                             ,Green
431008,NE 32nd ST & E Houston ST               ,Orange (500-1000 gpm)                             ,Orange
431034,3100 Pine Mill RD & AIKIN SCHOOL (S.S.) ,Orange (500-1000 gpm)                             ,Orange
431044,3100 Pine Mill RD /AIKIN SCHOOL (N. S.) ,Orange (500-1000 gpm)                             ,Orange
431047,NE 32nd ST & Pine Mill RD               ,Green (1000-1500 gpm)                             ,Green
431052,NE 31st ST & Pine Mill RD               ,Green (1000-1500 gpm)                             ,Green
431065,3155 Pine Mill RD /West parking lot of C,Unknown                                           ,Unknown
431073,700 NE 32nd ST                          ,Green (1000-1500 gpm)                             ,Green
431112,3120 NE Loop 286 /NW Corner Home Depot  ,Green (1000-1500 gpm)                             ,Green
431130,3100 NE Loop 286 /SW Corner of Jack In t,Green (1000-1500 gpm)                             ,Green
431190,Briar Oak DR & Fair Oaks ST             ,Black (0 - 375 gpm)                               ,Black
431254,3140 Farm Road 195                      ,Orange (500-1000 gpm)                             ,Orange
432032,NE 32nd ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
432049,NE 33rd ST & Pine Mill RD               ,Green (1000-1500 gpm)                             ,Green
432114,3120 NE Loop 286 /SE Corner Home Depot  ,Green (1000-1500 gpm)                             ,Green
432116,3120 NE Loop 286 /Behind Home Depot     ,Green (1000-1500 gpm)                             ,Green
432121,3235 NE Loop 286 /Toyota of Paris       ,Green (1000-1500 gpm)                             ,Green
432123,3215 NE Loop 286 /Discount Tire         ,Green (1000-1500 gpm)                             ,Green
432132,3205 NE Loop 286 /La Quinta             ,Green (1000-1500 gpm)                             ,Green
432134,3205 NE Loop 286 /La Quinta Parking Lot ,Green (1000-1500 gpm)                             ,Green
432233,Farm Road 195 & County Road 42250 /Count,Orange (500-1000 gpm)                             ,Orange
432283,3200 Abby LN                            ,Orange (500-1000 gpm)                             ,Orange
433022,NE 34th ST & Robin RD                   ,Green (1000-1500 gpm)                             ,Green
433031,NE 33rd ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
433032,NE 34th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
433048,NE 34th ST & Pine Mill RD               ,Green (1000-1500 gpm)                             ,Green
433091,NE 33rd ST & Ridgeview RD               ,Green (1000-1500 gpm)                             ,Green
433104,3300 NE Loop 286 /Crosswire             ,Green (1000-1500 gpm)                             ,Green
433112,3300 Park PL /East side of the street   ,Green (1000-1500 gpm)                             ,Green
433122,Park PL & Boardwalk ST                  ,Green (1000-1500 gpm)                             ,Green
433127,3300 NE Loop 286 /Toyota used cars      ,Green (1000-1500 gpm)                             ,Green
433134,1400 Boardwalk ST /Across from 1315 Boar,Orange (500-1000 gpm)                             ,Orange
433191,NE 34th ST & Clement RD                 ,Green (1000-1500 gpm)                             ,Green
433282,NE 33rd ST & Abby LN                    ,Orange (500-1000 gpm)                             ,Orange
433312,3200 NE 33rd ST                         ,Orange (500-1000 gpm)                             ,Orange
434003,NE 35th ST & Lamar AVE                  ,Green (1000-1500 gpm)                             ,Green
434032,NE 35th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
